work_place,n,name,uni,national,international,notice
КазНУ,415,КазНУ,1,1,0,
ЕНУ,325,ЕНУ,1,1,0,
ЮКГУ,273,ЮКГУ,1,0,0,
КазНТУ,202,КазНТУ,1,1,0,
КазАТУ,173,КазАТУ,1,0,0,
КазНАУ,88,КазНАУ,1,1,0,
Карагандинский государственный технический университет,67,КарГТУ,1,0,0,
Институт информационных и вычислительных технологий,56,Институт информационных и вычислительных технологий,0,,,
КГУ,56,Кокшетауский государственный университет,1,0,0,КГУ - это кокшетайский или костанайский
(Missing),51,,0,,,
Казахский Национальный Педагогический Университет им. Абая,49,КазНПУ,1,1,0,
National Laboratory Astana,45,Назарбаев Университет,1,0,1,считать как назарбаев университет
Национальный центр биотехнологии РК,41,Национальный центр биотехнологии РК,0,,,
"АО ""Институт металлургии и обогащения""",39,Институт металлургии и обогащения,0,,,
"НАО ""Западно-Казахстанский аграрно-технический университет имени Жангир хана""",39,Западно-Казахстанский аграрно-технический университет,1,0,0,
Институт математики и математического моделирования,38,Институт математики и математического моделирования,0,,,
Институт проблем горения,38,,0,,,
Алматинский университет энергетики и связи,34,АЭжБУ,1,0,0,
Институт микробиологии и вирусологии,33,,0,,,
Институт истории и этнологии им. Ч. Ч. Валиханова,29,,0,,,
РГП на ПХВ «Павлодарский государственный университет имени С.Торайгырова»,29,ПГУ,1,0,0,
Казахский государственный женский педагогический университет,28,КазНацЖенПУ,1,1,0,национальный или нет?
Назарбаев Университет,28,Назарбаев Университет,1,0,1,
Актюбинский региональный государственный университет им.К.Жубанова,27,АРГУ,1,0,0,
"ТОО ""Институт геологических наук имени К.И.Сатпаева""",26,,0,,,
"АО ""Институт химических наук имени А.Б.Бектурова""",25,,0,,,
Институт литературы и искусства им. М.О.Ауэзова,25,,0,,,
РГП на ПХВ ЖГУ им.И.Жансугурова,25,ЖГУ,1,0,0,
Химико-металлургический институт им.Ж.Абишева,25,,0,,,
РГКП «Институт экономики»,24,,0,,,
"РГУ ""Национальный университет обоороны им. Первого Президента РК-лидера нации"" министерства обороны Рк",24,НУО,1,0,0,
"АО ""Институт топлива, катализа и электрохимии им. Д.В.Сокольского""",22,,0,,,
Казахский национальный медицинский университет им. С.Д.Асфендиярова,22,КазНМУ,1,1,0,
"РГП на ПХВ ""Институт биологии и биотехнологии растений""",21,,0,,,
Учреждение «Международный Казахско-Турецкий университет им. Ходжи Ахмеда Ясави»,21,МКТУ,1,0,0,
Институт ядерной физики,20,,0,,,
Казахский гуманитарно-юридический инновационный университет,19,Казахский гуманитарно-юридический инновационный университет,1,0,0,
Карагандинский экономический университет Казпотребсоюза,19,Казпотребсоюз,1,0,0,
КГМУ,18,Карагандинский государственный медицинский университет,1,0,0,
Костанайский государственный университет им. А. Байтурсынова,18,Костанайский государственный университет,1,0,0,это не КГУ?
"РГП на ПХВ ""Павлодарский государственный университет имени С.Торайгырова""",18,ПГУ,1,0,0,
АО «Алматинский технологический университет»,17,АТУ,1,0,0,
"РГП ""Институт ботаники и фитоинтродукции""",17,,0,,,
"РГП на ПХВ ""ВКГУ имени С.Амонжолова"" ",17,ВКГУ,1,0,0,
РГП на ПХВ «Кызылординский государственный университет имени Коркыт Ата» МОН РК,16,Кызылординский государственный университет им. Коркыт ата,1,0,0,
Институт горного дела им.Д.А.Кунаева,15,,0,,,
Костанайский государственный педагогический институт,15,КГПУ,1,0,0,
Научно-исследовательский институт проблем биологической безопасности,15,,0,,,
РГП на ПХВ «Северо-Казахстанский государственный университет имени Манаша Козыбаева» МОН РК,15,СКГУ,1,0,0,
"АО ""КБТУ""",14,КБТУ,1,0,0,
РГП на ПХВ «Павлодарский государственный педагогический институт» МОН РК,14,ПГПУ,1,0,0,
ТОО «Казахский научно-исследовательский институт защиты и карантина растений имени Ж. Жиембаева»,14,,0,,,
Учреждение «Университет имени Сулеймана Демиреля»,14,Университет им. Сулеймана Демиреля,1,0,0,
Институт востоковедения им. Р.Б. Сулейменова,13,,0,,,
"ТОО ""Казахский научно-исследовательский ветеринарный институт""",13,,0,,,
"АО ""Казахский научно-исследовательский и проектный институт строительства и архитектуры""",12,,0,,,
Институт языкознания им. А.Байтурсынова,12,,0,,,
Национальная академия образования им. И. Алтынсарина,12,,0,,,это не учебное заведение?
Национальная нанотехнологическая лаборатория открытого типа,12,,0,,,
"РГП ""Институт общей генетики и цитологии"" КН МОН РК",12,,0,,,
РГП на праве хозяйственного ведения «Государственный университет имени Шакарима города Семей» Министерства образования и науки Республики Казахстан,12,СемГУ,1,0,0,
Университет имени Сулеймана Демиреля,12,Университет им. Сулеймана Демиреля,1,0,0,
Восточно-Казахстанский государственный технический университет имени Д.Серикбаева,11,ВКГТУ,1,0,0,
Западно-Казахстанский государственный университет им. М.Утемисова,11,Западно-Казахстанский государственный университет,1,0,0,
Казахский научный центр карантинных и зоонозных инфекций имени Масгута Айкимбаева,11,,0,,,
РГП на ПХВ Национальный ядерный центр РК,11,,0,,,
"ТОО ""Институт географии""",11,,0,,,
"ТОО ""Казахский НИИ почвоведения и агрохимии им.У.У.Успанова""",11,,0,,,
Алматы Менеджмент Университет,10,АлМУ,1,0,0,
"АО ""Алматинский технологический университет""",10,АТУ,1,0,0,
Казахский научно-исследовательский институт земледелия и растениеводства,10,,0,,,
