pi_id,score,win,win_2014,hirsh,scopus,rints,inst_cap,member,domain,delisted,sex,region,degree,proj_id,pr_rank,org_prestige
1e4f1d6da9dda1ed8f50256b68cd99f94b738406dc13db16f5123f24f0f7bbce,23,Yes,Yes,3,Yes,No,Works with,no,Science,Yes,Male,Алматы,Doctor,377,best,Other
1e4f1d6da9dda1ed8f50256b68cd99f94b738406dc13db16f5123f24f0f7bbce,20.67,No,Yes,3,Yes,No,Works with,no,Science,Yes,Male,Алматы,Doctor,458,second,Other
e80d121846657428e13c5b725fd44175d9d980192b733d2d6813d4d33e56df46,27.67,Yes,No,11,Yes,No,Works with,no,Energy,Yes,Male,Астана,PhD,4262,best,Other
e80d121846657428e13c5b725fd44175d9d980192b733d2d6813d4d33e56df46,26.67,No,No,11,Yes,No,Works with,no,Energy,Yes,Female,Астана,Candidate,4283,second,Other
646faac4deada6985e7d161a92dd80a7af7ec874a880d2fd9d9c8cceb01446f9,26.33,No,Yes,23,Yes,Yes,Works with,no,Natural_rm,No,Male,Астана,Doctor,2919,best,Other
646faac4deada6985e7d161a92dd80a7af7ec874a880d2fd9d9c8cceb01446f9,22.33,No,Yes,23,Yes,Yes,Works with,no,Natural_rm,No,Male,Астана,Doctor,3278,second,Other
5a0c720eacb0c414803b2333271f168945bc7ab2d1e86d98697ce49b4f4e13c6,29.33,Yes,Yes,9,Yes,No,No,no,Science,No,Male,Алматы,Doctor,115,best,Other
5a0c720eacb0c414803b2333271f168945bc7ab2d1e86d98697ce49b4f4e13c6,19.67,No,Yes,9,Yes,No,No,no,Energy,No,Male,Алматы,Doctor,4434,second,National
f8077e36b58e38ae6966e57c4b06122517d7caa78a6759e122fe1a5f2bb9c71e,29.33,No,No,2,Yes,No,Works with,no,Culture,Yes,Male,Астана,Doctor,712,best,Other
f8077e36b58e38ae6966e57c4b06122517d7caa78a6759e122fe1a5f2bb9c71e,17,No,No,2,Yes,No,Works with,no,Culture,Yes,Male,Астана,Doctor,1712,second,Other
8ab32cdd9a2744b7497f47290ec6e2ba0ddd07a4b5cb9b1ca4077113b52cb5f6,25.33,No,No,0,No,No,No,no,Culture,No,Female,Астана,Candidate,1032,best,Other
8ab32cdd9a2744b7497f47290ec6e2ba0ddd07a4b5cb9b1ca4077113b52cb5f6,19,No,No,0,No,No,No,no,Culture,No,Female,Астана,Candidate,1595,second,Other
172ce87f835f276a4f6d8679e5c5e62346e268596a04532d28ff5892ec36a3f5,26,No,Yes,3,Yes,No,Works with,no,Science,No,Male,Алматы,Doctor,244,best,National
172ce87f835f276a4f6d8679e5c5e62346e268596a04532d28ff5892ec36a3f5,24.33,No,Yes,3,Yes,No,Works with,no,Science,No,Male,Алматы,Doctor,322,second,National
df5fb9ad1841e36cb872e6f9953ba2136ce4ad472e1f13754719e2759daa7f18,24.67,No,No,1,Yes,No,Works with,no,Science,No,Female,Алматы,Doctor,315,best,Other
df5fb9ad1841e36cb872e6f9953ba2136ce4ad472e1f13754719e2759daa7f18,22.33,No,No,1,Yes,No,Works with,no,Science,No,Female,Алматы,Doctor,398,second,Other
a625f146a438a67f9d849d512ea3111a718eea502753d54929c25078aabf7411,24.67,No,No,14,Yes,No,Works with,no,Natural_rm,No,Male,Астана,Candidate,3070,best,Other
a625f146a438a67f9d849d512ea3111a718eea502753d54929c25078aabf7411,18.67,No,No,14,Yes,No,Works with,no,Natural_rm,No,Male,Астана,Doctor,3482,second,Other
b9bf1100153307c2c690f3373c24e0a8166a2b42a0f8b5375d9fa5cfed4abff8,21,Yes,No,2,Yes,Yes,Works with,no,Science,Yes,Male,Алматы,Doctor,445,best,Other
b9bf1100153307c2c690f3373c24e0a8166a2b42a0f8b5375d9fa5cfed4abff8,16,No,No,2,Yes,No,Works with,no,Science,Yes,Male,Алматы,Doctor,547,second,Other
df8c01f45943bdbc3a38a2e2563a2e6f6480cda11554b92ed08fd93b2f0bca25,29.33,No,No,0,Yes,Yes,No,no,Culture,Yes,Female,Алматы,PhD,710,best,International
df8c01f45943bdbc3a38a2e2563a2e6f6480cda11554b92ed08fd93b2f0bca25,21.33,No,No,0,Yes,Yes,No,no,Culture,Yes,Female,Алматы,PhD,1418,second,International
a8fc8ec065c35b045930d40028ada8355f537367b0975d3d1fbe5c7a14ecb775,23,No,No,0,Yes,No,No,no,Life,No,Male,Алматы,Candidate,2187,best,Other
a8fc8ec065c35b045930d40028ada8355f537367b0975d3d1fbe5c7a14ecb775,22,No,No,0,Yes,No,No,no,Life,No,Male,Алматы,Doctor,2230,second,Other
5bac88dc4eb62c99bb6ce3c00f341c3e3be210654c9df3a5a54f0769684183ca,26.33,No,No,0,No,No,No,no,Natural_rm,No,Female,Other,Doctor,2926,best,Regional
5bac88dc4eb62c99bb6ce3c00f341c3e3be210654c9df3a5a54f0769684183ca,25,No,No,0,No,No,Works with,no,Natural_rm,No,Female,Алматы,Doctor,3052,second,National
4af39789a3bd4948985ce35738fbec7f2163cd689d4d0934abe4028ccef2a1d1,24.67,No,No,3,Yes,No,Works with,no,Natural_rm,No,Male,Алматы,Doctor,3084,best,National
4af39789a3bd4948985ce35738fbec7f2163cd689d4d0934abe4028ccef2a1d1,23.33,No,No,3,Yes,No,Works with,no,Natural_rm,No,Male,Алматы,Doctor,3217,second,Regional
5e07e4c03540551d786883cf557a015c05afeaf91d5c628334774345cd05ec79,29,No,Yes,1,Yes,No,No,no,Life,No,Female,Алматы,Candidate,1957,best,Other
5e07e4c03540551d786883cf557a015c05afeaf91d5c628334774345cd05ec79,25.67,No,Yes,1,Yes,No,No,no,Life,No,Female,Алматы,Candidate,2074,second,Other
9a81737f9bc8eda33cf2dc2a30071a1876ae433a6d495a38605bfa29fd36cbef,30,Yes,Yes,9,Yes,No,Works with,no,Natural_rm,No,Male,Алматы,Doctor,2618,best,National
9a81737f9bc8eda33cf2dc2a30071a1876ae433a6d495a38605bfa29fd36cbef,29.67,Yes,Yes,9,Yes,No,Works with,no,Energy,No,Male,Алматы,Doctor,4212,second,National
7ad4a21e9f34b0a63f12324fdaf7a96c0365a9fb61d327bd29754929f7c9c15b,24.33,Yes,No,0,No,No,No,no,Life,No,Female,Шымкент,Candidate,2131,best,Regional
7ad4a21e9f34b0a63f12324fdaf7a96c0365a9fb61d327bd29754929f7c9c15b,23,No,No,1,Yes,No,Works with,no,Energy,Yes,Female,Шымкент,Candidate,4364,second,Regional
b8c0df23f4e00425d74499fc44c88da5cd12dc42932dfad632ee3ad8d553e400,29.33,No,Yes,0,No,Yes,Works with,no,Agriculture,No,Male,Other,Doctor,3629,best,Other
b8c0df23f4e00425d74499fc44c88da5cd12dc42932dfad632ee3ad8d553e400,24,No,Yes,0,No,Yes,Works with,no,Agriculture,No,Male,Other,Doctor,3872,second,Other
fb6a04a2704262e0939ce1d40d7d358df16d319c50ac3beaeb10e4c35f9f4e49,25.67,No,Yes,0,No,No,No,no,Life,No,Female,Алматы,Doctor,2062,best,Other
fb6a04a2704262e0939ce1d40d7d358df16d319c50ac3beaeb10e4c35f9f4e49,23.67,No,Yes,6,Yes,No,No,no,Agriculture,No,Female,Алматы,Doctor,3890,second,Other
81462e22eb0a743a1a0efa997b91a6f6e994d5021729142b9448877a17d4221c,26.67,No,No,2,Yes,No,No,no,Life,Yes,Male,Астана,Doctor,2029,best,Other
81462e22eb0a743a1a0efa997b91a6f6e994d5021729142b9448877a17d4221c,20.67,No,No,2,Yes,No,No,no,Life,Yes,Male,Астана,Doctor,2273,second,Other
d5cec619e9632ab5aa9c0b1c626ccd64abb13182380585dee7ee585311d1bae9,19,No,No,3,Yes,Yes,No,no,Life,Yes,Male,Other,Candidate,2324,second,Regional
d5cec619e9632ab5aa9c0b1c626ccd64abb13182380585dee7ee585311d1bae9,22,No,No,3,Yes,Yes,No,no,Natural_rm,Yes,Male,Other,Candidate,3302,best,Regional
3ae32b68241da009b54bbafd193ee91c15ef8344715f30977d953d673e68bd07,27.33,Yes,No,2,Yes,No,Works with,no,Science,No,Female,Астана,Candidate,196,best,National
3ae32b68241da009b54bbafd193ee91c15ef8344715f30977d953d673e68bd07,25,No,No,2,Yes,No,No,no,Science,No,Female,Астана,Candidate,309,second,Other
455789a7b4ea0ab0e6fe1a7316b9bb3bfdf4c3fe1057f141dec37dd6ad1f12e3,21.33,No,No,1,Yes,No,No,no,Science,No,Male,Other,Candidate,436,second,Regional
455789a7b4ea0ab0e6fe1a7316b9bb3bfdf4c3fe1057f141dec37dd6ad1f12e3,22.67,No,No,1,Yes,No,No,no,Energy,No,Male,Other,Candidate,4370,best,Regional
6207f51a483ae88ab238a9aae9abe4a4508f4f3b23b578740f9170be7711234d,20.67,No,No,1,Yes,No,No,no,Life,Yes,Female,Алматы,Candidate,2271,best,National
6207f51a483ae88ab238a9aae9abe4a4508f4f3b23b578740f9170be7711234d,17.33,No,No,1,Yes,No,No,no,Life,Yes,Female,Алматы,Candidate,2368,second,National
b89a4b0820959c43acd77a136e14c3866641523f5baeb8725889deacaa5cef76,21.33,No,No,1,Yes,No,No,no,Agriculture,No,Male,Other,Doctor,4002,best,Regional
b89a4b0820959c43acd77a136e14c3866641523f5baeb8725889deacaa5cef76,19.33,No,No,0,Yes,No,No,no,Agriculture,No,Male,Other,Doctor,4078,second,Regional
f1cd330d22882f226eb59ea14b14f09d32eafc2ce8cb56c00daba3b5f8a342b6,24,No,No,0,Yes,No,No,no,Agriculture,No,Male,Алматы,Doctor,3881,best,Other
f1cd330d22882f226eb59ea14b14f09d32eafc2ce8cb56c00daba3b5f8a342b6,22.67,No,No,0,Yes,No,No,no,Agriculture,No,Male,Алматы,Doctor,3941,second,Other
24072508760693d8ff9d6b7ffc457c77bd6e09079cf350caba93f6c3dda6f88f,27.33,No,No,2,Yes,Yes,No,no,Natural_rm,Yes,Female,Other,Candidate,2830,second,Other
24072508760693d8ff9d6b7ffc457c77bd6e09079cf350caba93f6c3dda6f88f,29.33,No,No,2,Yes,Yes,Works with,no,Energy,No,Female,Other,Candidate,4221,best,Regional
676e303775886067a439c05aa81cc9151681422db61f057dfd23bc62a3f21113,30.67,Yes,Yes,1,Yes,No,No,no,Agriculture,Yes,Male,Астана,Doctor,3605,best,Regional
676e303775886067a439c05aa81cc9151681422db61f057dfd23bc62a3f21113,28.67,No,Yes,1,Yes,No,No,no,Energy,Yes,Male,Астана,Doctor,4236,second,Regional
9c6824fc57f4f28678b81ca291e38685e247d9133606585fecca8a7d1158eef6,27.67,Yes,Yes,1,Yes,No,(Missing),no,Life,No,Male,Алматы,Doctor,1998,best,Other
9c6824fc57f4f28678b81ca291e38685e247d9133606585fecca8a7d1158eef6,18.67,No,Yes,1,Yes,No,(Missing),no,Life,No,Male,Астана,Doctor,2335,second,Other
525cc1bc8b1bde61b9dbb46d660a87791d1611f87523ce8fcada1567f6cd116b,23.33,No,Yes,0,Yes,No,No,no,Culture,Yes,Female,Алматы,Doctor,1247,best,Other
525cc1bc8b1bde61b9dbb46d660a87791d1611f87523ce8fcada1567f6cd116b,23,No,Yes,0,Yes,No,No,no,Culture,Yes,Female,Алматы,Doctor,1278,second,Other
2d6780fc56e7376262f2f41794ca0a1009dc8d9726d993884258a2d3b4b5b6fb,29,No,No,1,Yes,No,Works with,no,Culture,Yes,Female,Астана,Candidate,734,best,National
2d6780fc56e7376262f2f41794ca0a1009dc8d9726d993884258a2d3b4b5b6fb,25,No,No,1,Yes,No,No,no,Security,Yes,Female,Астана,Candidate,2471,second,National
bafad40a30c012f60d384a5d8038f1331937af2c897175e460cd4ee5d625a081,26.67,Yes,No,0,No,No,No,no,Natural_rm,No,Male,Алматы,PhD,2895,best,Regional
bafad40a30c012f60d384a5d8038f1331937af2c897175e460cd4ee5d625a081,18,No,No,0,No,No,No,no,Natural_rm,No,Male,Астана,PhD,3506,second,Regional
